start_time,end_time,service_provider,longi ,lati,upload_speed,download_speed,delay,cell_id_1,plmn_1,rssi_1,earfcn_1,Pic_1,rsrp_1,rsrq_1,sinr_1,cell_id_2,plmn_2,rssi_1,earfcn_2,pic_2,rsrp_2,rsrq_2,sinr_2,altitude
2022-06-14 19_22_31.396023,2022-06-14 19_23_28.183896,Airtel,NA,NA,4.48542458450025,7.16133416055029,81.188,233523733,40449,-65dB,39150,,-104dBm,-11dB,6dB,233523733,40449,-74dB,39150,66,-107dBm,-16dB,-1dB,0
2022-06-14 19_25_48.039278,2022-06-14 19_26_34.637530,Airtel,NA,NA,4.14445452496478,11.2095233916306,65.283,233523733,40449,-74dB,39150,66,-107dBm,-10dB,8dB,233523733,40449,-78dB,39150,66,-107dBm,-10dB,10dB,0
2022-06-14 19_26_43.521528,2022-06-14 19_27_37.548922,Airtel,NA,NA,14.3008179215985,8.66579508918324,69.745,233523733,40449,-78dB,39150,66,-107dBm,-10dB,14dB,233523733,40449,-56dB,1415,,-86dBm,-11dB,11dB,0
2022-06-14 19_27_49.992530,2022-06-14 19_28_42.949053,Airtel,NA,NA,9.35772085106057,6.52206000554382,61.575,233523980,40449,-49dB,1415,,-80dBm,-11dB,11dB,233523980,40449,-62dB,1415,,-91dBm,-11dB,6dB,0
2022-06-14 19_30_10.385761,2022-06-14 19_31_05.366842,Airtel,NA,NA,23.2753741566317,11.5717591104361,63.791,233523980,40449,-61dB,1415,,-94dBm,-11dB,2dB,233523980,40449,-54dB,1415,,-84dBm,-11dB,15dB,0
2022-06-14 19_32_29.741091,2022-06-14 19_33_35.124334,Airtel,NA,NA,18.248236924441,24.1121966134258,59.368,233523467,40449,-60dB,1415,,-84dBm,-11dB,11dB,233523467,40449,-60dB,1415,,-89dBm,-11dB,11dB,1
2022-06-14 19_33_40.559556,2022-06-14 19_34_29.704900,Airtel,NA,NA,21.106274295511,26.8990912703317,51.752,233523467,40449,-60dB,1415,,-89dBm,-11dB,9dB,233523467,40449,-60dB,1415,,-89dBm,-11dB,6dB,1
2022-06-14 19_34_41.062945,2022-06-14 19_35_22.787227,Airtel,NA,NA,17.6267769471194,8.05740663796503,53.997,233523467,40449,-60dB,1415,,-89dBm,-11dB,6dB,233523467,40449,-61dB,1415,,-89dBm,-11dB,8dB,1
2022-06-14 19_35_32.694191,2022-06-14 19_36_20.541057,Airtel,NA,NA,20.042834309691,14.532933617893,51.542,233523467,40449,-61dB,1415,,-89dBm,-11dB,6dB,233523467,40449,-59dB,1415,,-84dBm,-11dB,7dB,1
2022-06-14 19_36_31.223727,2022-06-14 19_37_29.530064,Airtel,NA,NA,24.7321193652471,34.2396350601527,53.979,233523467,40449,-59dB,1415,,-84dBm,-11dB,6dB,233523467,40449,-59dB,1415,,-90dBm,-11dB,7dB,1
2022-06-14 19_40_27.321903,2022-06-14 19_41_13.643257,Airtel,NA,NA,17.2501928790325,9.38767111664644,54.864,233523497,40449,-48dB,3646,,-76dBm,-11dB,4dB,233523497,40449,-56dB,3646,249,-73dBm,-6dB,9dB,2
2022-06-14 19_41_22.425592,2022-06-14 19_42_14.314600,Airtel,NA,NA,8.30634923638076,7.83030758322208,62.548,233524010,40449,-45dB,3646,337,-81dBm,-12dB,2dB,233524010,40449,-45dB,3646,337,-82dBm,-17dB,1dB,2
2022-06-14 19_42_34.971328,2022-06-14 19_43_28.842094,Airtel,NA,NA,11.7250156575414,3.20717121789577,70.226,233524010,40449,-52dB,3646,337,-82dBm,-12dB,2dB,233524010,40449,-46dB,3646,469,-80dBm,-12dB,-2dB,2
2022-06-14 19_43_38.963565,2022-06-14 19_44_32.796637,Airtel,NA,NA,9.88613825988267,3.57669478572592,60.297,232175914,40449,-46dB,3646,469,-74dBm,-12dB,2dB,232175914,40449,-54dB,3646,337,-83dBm,-12dB,4dB,2
2022-06-14 19_44_42.469190,2022-06-14 19_45_43.400759,Airtel,NA,NA,15.4379222747031,7.14150116773416,62.105,233524010,40449,-48dB,3646,337,-81dBm,-12dB,4dB,233524010,40449,-49dB,3646,249,-81dBm,-12dB,7dB,2
2022-06-14 19_47_26.016479,2022-06-14 19_48_28.553008,Airtel,NA,NA,10.9768195316589,12.2165097254836,66.9,233523467,40449,-64dB,1415,249,-104dBm,-17dB,1dB,233523467,40449,-58dB,1415,337,-87dBm,-10dB,7dB,3
2022-06-14 19_48_55.938031,2022-06-14 19_49_43.321744,Airtel,NA,NA,14.665989707119,10.3723472811328,55.481,233523980,40449,-58dB,1415,337,-87dBm,-10dB,9dB,233523980,40449,-58dB,1415,337,-95dBm,-10dB,3dB,3
2022-06-14 19_50_35.909987,2022-06-14 19_51_32.422238,Airtel,NA,NA,13.1024354013865,3.5516985827396,67.165,233523980,40449,-58dB,1415,337,-90dBm,-10dB,9dB,233523980,40449,-58dB,1415,337,-96dBm,-16dB,-1dB,3
2022-06-14 19_51_41.638541,2022-06-14 19_52_35.451041,Airtel,NA,NA,10.7064989721378,4.61009046810399,58.704,233523497,40449,-51dB,3646,249,-78dBm,-8dB,3dB,233523497,40449,-51dB,3646,337,-83dBm,-14dB,2dB,3
2022-06-14 19_52_41.031613,2022-06-14 19_53_28.392104,Airtel,NA,NA,11.416667457254,7.24245163139977,60.31,233524010,40449,-51dB,3646,337,-83dBm,-14dB,1dB,233524010,40449,-59dB,3646,469,-78dBm,-14dB,2dB,3
2022-06-14 19_55_19.516166,2022-06-14 19_56_22.785152,Airtel,NA,NA,18.7900300215018,2.97697499169546,60.115,233523980,40449,-59dB,1415,337,-98dBm,-15dB,0dB,233523980,40449,-59dB,1415,337,-90dBm,-10dB,6dB,4
2022-06-14 19_56_33.064288,2022-06-14 19_57_34.530609,Airtel,NA,NA,21.0214462742555,13.0574285097638,60.111,233523980,40449,-59dB,1415,337,-83dBm,-10dB,13dB,233523980,40449,-55dB,1415,337,-83dBm,-10dB,13dB,4
2022-06-14 19_57_40.372048,2022-06-14 19_58_33.613256,Airtel,NA,NA,18.374595082235,14.6579415724248,60.118,233523980,40449,-55dB,1415,337,-83dBm,-10dB,10dB,233523980,40449,-55dB,1415,337,-84dBm,-10dB,11dB,4
2022-06-14 19_58_45.534129,2022-06-14 19_59_46.955548,Airtel,NA,NA,24.937842966365,10.5536547428088,61.03,233523980,40449,-55dB,1415,337,-84dBm,-10dB,10dB,233523980,40449,-61dB,1415,337,-89dBm,-10dB,3dB,4
2022-06-14 19_59_52.081756,2022-06-14 20_00_41.299687,Airtel,NA,NA,22.6786924167806,10.4609511076896,59.205,233523980,40449,-61dB,1415,337,-89dBm,-10dB,7dB,233523980,40449,-55dB,1415,337,-84dBm,-10dB,7dB,4
2022-06-14 20_02_02.994719,2022-06-14 20_03_01.159013,Airtel,NA,NA,0.933480384495996,2.50680327700715,61.778,233523980,40449,-66dB,1415,337,-98dBm,-15dB,-3dB,233523980,40449,-80dB,1415,249,-121dBm,-15dB,-10dB,5
2022-06-14 20_03_39.817090,2022-06-14 20_04_28.603963,Airtel,NA,NA,21.7042894357527,11.4677970714523,55.934,233523467,40449,-62dB,1415,249,-96dBm,-15dB,-1dB,233523467,40449,-62dB,1415,249,-96dBm,-15dB,1dB,5
2022-06-14 20_04_34.359057,2022-06-14 20_05_35.508875,Airtel,NA,NA,2.63949630314071,1.45931218364514,57.255,233523467,40449,-62dB,1415,249,-96dBm,-15dB,0dB,233523467,40449,-62dB,1415,468,-92dBm,-15dB,0dB,5
2022-06-14 20_05_42.597525,2022-06-14 20_06_43.251361,Airtel,NA,NA,5.33077767702371,2.4999341144612,55.77,232175883,40449,-62dB,1415,468,-92dBm,-15dB,2dB,232175883,40449,-62dB,1415,468,-97dBm,-15dB,0dB,5
2022-06-14 20_06_52.527031,2022-06-14 20_07_46.788874,Airtel,NA,NA,7.27415855263269,2.1587513012268,61.39,232175883,40449,-62dB,1415,468,-92dBm,-15dB,2dB,232175883,40449,-62dB,1415,468,-92dBm,-15dB,1dB,5
2022-06-14 20_09_14.499843,2022-06-14 20_10_04.457758,Airtel,NA,NA,17.6995706390887,16.6010184829269,58.216,233523467,40449,-70dB,1415,249,-106dBm,-16dB,-3dB,233523467,40449,-59dB,1415,,-91dBm,-11dB,7dB,6
2022-06-14 20_10_12.196645,2022-06-14 20_11_02.979342,Airtel,NA,NA,17.3831815434886,3.96610519956088,64.828,233523980,40449,-59dB,1415,,-97dBm,-11dB,3dB,233523980,40449,-59dB,1415,,-85dBm,-11dB,10dB,6
2022-06-14 20_11_08.834801,2022-06-14 20_12_04.813732,Airtel,NA,NA,16.8995274665571,3.17713638809024,58.114,233523980,40449,-59dB,1415,,-85dBm,-11dB,7dB,233523980,40449,-55dB,1415,,-84dBm,-11dB,9dB,6
2022-06-14 20_12_11.631128,2022-06-14 20_12_57.350398,Airtel,NA,NA,14.6257631171007,2.02818901745392,60.379,233523980,40449,-55dB,1415,,-84dBm,-11dB,11dB,233523980,40449,-57dB,3646,,-78dBm,-11dB,7dB,6
2022-06-14 20_13_04.815549,2022-06-14 20_13_57.417185,Airtel,NA,NA,11.837346097461,7.27292953026236,52.245,233524010,40449,-49dB,3646,,-78dBm,-11dB,7dB,233524010,40449,-49dB,3646,,-80dBm,-11dB,5dB,6
2022-06-14 20_15_17.313383,2022-06-14 20_16_17.946500,Airtel,NA,NA,7.21147774177928,10.2787657771251,63.027,233523980,40449,-62dB,1415,337,-100dBm,-16dB,-3dB,233523980,40449,-62dB,1415,,-97dBm,-11dB,3dB,7
2022-06-14 20_16_25.752113,2022-06-14 20_17_04.783479,Airtel,NA,NA,12.4853123612908,2.81340258210853,59.365,233523980,40449,-62dB,1415,,-97dBm,-11dB,2dB,233523980,40449,-55dB,3646,,-84dBm,-11dB,1dB,7
2022-06-14 20_17_29.948469,2022-06-14 20_18_17.798626,Airtel,NA,NA,12.8312187198158,5.4372676254906,61.536,233524010,40449,-55dB,3646,,-84dBm,-11dB,3dB,233524010,40449,-54dB,3646,,-84dBm,-11dB,-1dB,7
2022-06-14 20_18_55.836498,2022-06-14 20_19_57.351792,Airtel,NA,NA,14.3165111542219,5.23624717471764,60.1,233524010,40449,-67dB,3646,,-90dBm,-11dB,0dB,233524010,40449,-48dB,3646,337,-79dBm,-9dB,7dB,7
2022-06-14 20_20_39.491643,2022-06-14 20_21_34.087585,Airtel,NA,NA,14.7919367760283,7.37502467807225,63.555,233524010,40449,-49dB,3646,337,-77dBm,-12dB,4dB,233524010,40449,-57dB,3646,337,-89dBm,-12dB,-4dB,7
2022-06-14 20_24_13.810470,2022-06-14 20_25_09.134645,Airtel,NA,NA,6.84542604875006,6.09034528808196,72.108,233523467,40449,-64dB,1415,249,-91dBm,-8dB,12dB,233523467,40449,-57dB,1415,337,-89dBm,-13dB,6dB,0
2022-06-14 20_25_26.777526,2022-06-14 20_26_26.359562,Airtel,NA,NA,13.8879237173896,3.40006206304876,61.438,233523980,40449,-57dB,1415,337,-89dBm,-13dB,12dB,233523980,40449,-66dB,3646,337,-92dBm,-13dB,3dB,0
2022-06-14 20_26_40.234762,2022-06-14 20_27_40.998120,Airtel,NA,NA,12.3554487810033,7.64409221481795,60.384,233524010,40449,-60dB,3646,337,-83dBm,-13dB,10dB,233524010,40449,-57dB,3646,337,-88dBm,-13dB,5dB,0
2022-06-14 20_27_46.033561,2022-06-14 20_28_47.390669,Airtel,NA,NA,4.55454753494498,5.2101222617477,64.292,233524010,40449,-57dB,3646,337,-88dBm,-13dB,2dB,233524010,40449,-72d0B,39150,66,-100dBm,-13dB,8dB,0
2022-06-14 20_28_58.384477,2022-06-14 20_29_52.788491,Airtel,NA,NA,3.72673336790869,13.1010995765351,62.004,233523733,40449,-72d0B,39150,66,-106dBm,-13dB,10dB,233523733,40449,-78dB,39150,66,-108dBm,-13dB,8dB,0
2022-06-14 20_31_00.285664,2022-06-14 20_32_02.231539,Airtel,NA,NA,22.5771677834541,20.0345646809411,61.732,233523467,40449,-65dB,1415,249,-95dBm,-5dB,2dB,233523467,40449,-59dB,1415,249,-89dBm,-10dB,10dB,1
2022-06-14 20_32_09.572334,2022-06-14 20_33_03.093061,Airtel,NA,NA,19.9461268829511,27.4145172942062,59.838,233523467,40449,-59dB,1415,249,-89dBm,-10dB,9dB,233523467,40449,-65dB,1415,249,-90dBm,-10dB,7dB,1
2022-06-14 20_34_26.916524,2022-06-14 20_35_19.870006,Airtel,NA,NA,20.4327451960922,10.9068097913998,59.62,233523467,40449,-65dB,1415,249,-95dBm,-10dB,3dB,233523467,40449,-59dB,1415,249,-87dBm,-10dB,14dB,1
2022-06-14 20_35_29.189736,2022-06-14 20_36_32.430432,Airtel,NA,NA,17.0703629352617,34.3953530272897,56.642,233523467,40449,-59dB,1415,249,-87dBm,-10dB,13dB,233523467,40449,-65dB,1415,249,-93dBm,-10dB,7dB,1
2022-06-14 20_37_21.304822,2022-06-14 20_38_07.835230,Airtel,NA,NA,21.6526739758286,36.5208721200496,51.568,233523467,40449,-66dB,1415,249,-95dBm,-10dB,8dB,233523467,40449,-62dB,1415,249,-90dBm,-10dB,10dB,1
2022-06-14 20_40_32.536392,2022-06-14 20_41_33.381692,Airtel,NA,NA,19.1824104304632,34.103040094016,52.679,233523467,40449,-60dB,1415,249,-93dBm,-10dB,4dB,233523467,40449,-59dB,1415,249,-93dBm,-10dB,-1dB,2
2022-06-14 20_41_43.525493,2022-06-14 20_42_44.086400,Airtel,NA,NA,24.765764617651,23.4586141567233,53.779,233523467,40449,-59dB,1415,249,-93dBm,-10dB,-3dB,233523467,40449,-58dB,1415,337,-86dBm,-10dB,11dB,2
2022-06-14 20_42_47.235325,2022-06-14 20_43_44.211269,Airtel,NA,NA,23.5361137959044,18.3027178822993,59.897,233523980,40449,-58dB,1415,337,-86dBm,-10dB,-1dB,233523980,40449,-58dB,1415,249,-86dBm,-10dB,8dB,2
2022-06-14 20_43_50.884659,2022-06-14 20_44_47.474564,Airtel,NA,NA,24.2933703324798,14.0884828853089,59.724,233523467,40449,-58dB,1415,249,-86dBm,-10dB,13dB,233523467,40449,-58dB,1415,249,-83dBm,-9dB,12dB,2
2022-06-14 20_44_59.254162,2022-06-14 20_45_59.937907,Airtel,NA,NA,11.0573815145886,21.913458080317,53.25,233523467,40449,-52dB,1415,249,-83dBm,-9dB,12dB,233523467,40449,-60dB,1415,249,-99dBm,-15dB,1dB,2
2022-06-14 20_48_29.226937,2022-06-14 20_49_30.602629,Airtel,NA,NA,15.0753136995704,5.61407984521353,59.744,233523980,40449,-62dB,1415,337,-88dBm,-14dB,8dB,233523980,40449,-61dB,1415,337,-94dBm,-14dB,4dB,3
2022-06-14 20_49_37.575339,2022-06-14 20_50_38.909837,Airtel,NA,NA,8.64708987720627,9.7100733102228,55.374,233523980,40449,-61dB,1415,337,-88dBm,-14dB,5dB,233523980,40449,-56dB,1415,337,-91dBm,-14dB,2dB,3
2022-06-14 20_50_49.751614,2022-06-14 20_51_44.166493,Airtel,NA,NA,24.1749704345619,19.0064327998769,67.052,233523467,40449,-56dB,1415,249,-91dBm,-9dB,5dB,233523467,40449,-56dB,1415,249,-91dBm,-9dB,2dB,3
2022-06-14 20_52_50.328771,2022-06-14 20_53_38.908906,Airtel,NA,NA,13.6804533008002,16.0542281845688,54.544,233523467,40449,-56dB,1415,249,-91dBm,-9dB,4dB,233523467,40449,-56dB,1415,337,-91dBm,-14dB,2dB,3
2022-06-14 20_53_44.267411,2022-06-14 20_54_41.697781,Airtel,NA,NA,1.40113882316091,4.99283216501581,55.55,233523980,40449,-63dB,1415,337,-97dBm,-14dB,0dB,233523980,40449,-770B,39294,250,-109dBm,-14dB,0dB,3
2022-06-14 20_56_11.344254,2022-06-14 20_56_57.897565,Airtel,NA,NA,15.450348784035,14.3533336367729,50.43,233523467,40449,-67dB,1415,249,-96dBm,-14dB,3dB,233523467,40449,-59dB,1415,249,-90dBm,-9dB,4dB,4
2022-06-14 20_57_11.371777,2022-06-14 20_57_53.174050,Airtel,NA,NA,13.7868443157391,14.8602402762995,56.805,233523467,40449,-58dB,1415,249,-90dBm,-9dB,2dB,233523467,40449,-58dB,1415,249,-90dBm,-9dB,5dB,4
2022-06-14 20_58_01.862175,2022-06-14 20_59_02.508258,Airtel,NA,NA,23.7216548296073,23.9746065316333,57.987,233523467,40449,-58dB,1415,249,-89dBm,-9dB,7dB,233523467,40449,-51dB,1415,,-88dBm,-11dB,-6dB,4
2022-06-14 20_59_37.409790,2022-06-14 21_00_27.659355,Airtel,NA,NA,15.9711376491342,17.418425117763,54.2,233523467,40449,-58dB,1415,,-88dBm,-11dB,6dB,233523467,40449,-58dB,1415,,-95dBm,-11dB,-1dB,4
2022-06-14 21_00_40.396258,2022-06-14 21_01_36.886558,Airtel,NA,NA,10.3777303219947,3.57592796628423,59.162,233523980,40449,-64dB,1415,,-95dBm,-11dB,2dB,233523980,40449,-58dB,1415,337,-95dBm,-16dB,-4dB,4
2022-06-14 21_05_12.077203,2022-06-14 21_06_17.096833,Airtel,NA,NA,6.19857471978402,0.217370265423807,65.315,233523467,40449,-64dB,1415,,-95dBm,-11dB,9dB,233523467,40449,-64dB,1415,,-95dBm,-11dB,3dB,5
2022-06-14 21_06_24.633733,2022-06-14 21_07_25.617266,Airtel,NA,NA,4.93151171770385,6.84346329499389,59.646,233523467,40449,-64dB,1415,,-95dBm,-11dB,3dB,233523467,40449,-64dB,1415,,-99dBm,-11dB,0dB,5
2022-06-14 21_07_35.676759,2022-06-14 21_08_38.270123,Airtel,NA,NA,1.78516051660472,2.45861742362025,59.94,233523488,40449,-64dB,39294,250,-99dBm,-18dB,-6dB,233523488,40449,-74dB,39294,250,-106dBm,-13dB,1dB,5
2022-06-14 21_08_41.561217,2022-06-14 21_09_44.465355,Airtel,NA,NA,0.771317677976758,2.22322216299387,70.12,233523488,40449,-74dB,39294,250,-106dBm,-13dB,3dB,233523488,40449,-82dB,39294,250,-112dBm,-19dB,-8dB,5
2022-06-14 21_12_21.595596,2022-06-14 21_13_24.382741,Airtel,NA,NA,13.3796945292651,2.70551014094247,66.657,233524010,40449,-59dB,3646,337,-88dBm,-13dB,2dB,233524010,40449,-54dB,3646,249,-89dBm,-13dB,7dB,5
2022-06-14 21_13_33.408306,2022-06-14 21_14_20.008323,Airtel,NA,NA,9.4344852292137,6.57751072641777,63.589,233523497,40449,-62dB,3646,249,-83dBm,-13dB,0dB,233523497,40449,-47dB,3646,337,-82dBm,-13dB,5dB,6
2022-06-14 21_19_41.481905,2022-06-14 21_20_14.701887,Airtel,NA,NA,12.4352097293352,3.58427798939458,78.296,233523980,40449,-65dB,1415,337,-93dBm,-14dB,0dB,233523980,40449,-64dB,1415,337,-94dBm,-14dB,4dB,6
2022-06-14 21_20_44.073655,2022-06-14 21_21_15.275598,Airtel,NA,NA,11.5246951392976,7.4429779045006,41.549,233523980,40449,-52dB,1415,337,-84dBm,-9dB,5dB,233523980,40449,-61dB,1415,337,-93dBm,-9dB,3dB,6
2022-06-14 21_22_52.296925,2022-06-14 21_23_23.641424,Airtel,NA,NA,13.4188975351646,6.14674362754001,39.794,233523980,40449,-54dB,1415,337,-84dBm,-9dB,11dB,233523980,40449,-52dB,3646,337,-80dBm,-9dB,8dB,6
2022-06-14 21_23_55.903740,2022-06-14 21_24_26.707167,Airtel,NA,NA,13.5556049349775,2.96934704513664,45.977,233524010,40449,-54dB,3646,337,-80dBm,-14dB,11dB,233524010,40449,-54dB,3646,337,-85dBm,-14dB,4dB,6
2022-06-14 21_24_37.054716,2022-06-14 21_25_07.927975,Airtel,NA,NA,10.6015420993256,2.89993835219803,40.691,233524010,40449,-47dB,3646,337,-79dBm,-14dB,5dB,233524010,40449,-45dB,3646,337,-79dBm,-14dB,8dB,7
2022-06-14 21_30_47.468946,2022-06-14 21_31_18.123839,Airtel,NA,NA,7.55619771544737,14.1749569543303,38.281,233523467,40449,-62dB,1415,249,-93dBm,-10dB,6dB,233523467,40449,-62dB,1415,249,-93dBm,-10dB,2dB,7
2022-06-14 21_32_06.601910,2022-06-14 21_32_37.257741,Airtel,NA,NA,11.7857052711966,11.2017021868597,41.449,233523467,40449,-62dB,1415,249,-93dBm,-10dB,2dB,233523467,40449,-62dB,1415,337,-93dBm,-10dB,1dB,7
2022-06-14 21_33_50.898670,2022-06-14 21_34_22.061266,Airtel,NA,NA,9.37166680933127,5.48311152866693,39.675,233523980,40449,-62dB,1415,337,-100dBm,-15dB,-3dB,233523980,40449,-62dB,1415,337,-95dBm,-15dB,2dB,7
